cgc_id,sequence
MGYG000290008_10|CGC1,"GH3,9.B.33"
MGYG000290008_10|CGC2,"GH28,9.B.169,null,Peptidase_M23,1.A.34"
MGYG000290008_11|CGC1,"2.A.88,null,null,GH51,null,3.A.16"
MGYG000290008_11|CGC2,"GH31,null,null,2.A.51,2.A.51"
MGYG000290008_21|CGC1,"3.A.1,null,GT2"
MGYG000290008_26|CGC1,"2.A.49,9.B.31,null,null,CBM67|GH78,GH2"
MGYG000290008_27|CGC1,"2.A.7,null,GH20"
MGYG000290008_28|CGC1,"GH2,9.B.18,null,3.A.5"
MGYG000290008_30|CGC1,"3.A.2,3.A.2,null,3.A.2,3.A.2,3.A.2,null,GH43_34,GH36"
MGYG000290009_15|CGC1,"3.D.1,GT35"
MGYG000290009_28|CGC1,"2.A.5,GT51"
MGYG000290009_40|CGC1,"GH13_20,null,null,3.A.5,null,3.A.11"
MGYG000290009_82|CGC1,"GT32,GT4,9.B.18"
MGYG000290009_142|CGC1,"GH2,2.A.2,GH36"
MGYG000290009_169|CGC1,"GH77,3.A.1,3.A.1,3.A.1,3.A.1,GH13_36"
MGYG000290009_180|CGC1,"3.A.16,null,GH2"
MGYG000290009_217|CGC1,"3.A.1,3.A.1,3.A.1,GH2,3.A.1"
MGYG000290009_219|CGC1,"GT2,null,9.B.18"
MGYG000290011_3|CGC1,"9.B.174,null,null,GT51,null,2.A.7"
MGYG000290011_3|CGC2,"4.C.1,2.A.1,null,null,GH3"
MGYG000290011_4|CGC1,"GH30_3,null,GH3,GH16_3,null,8.A.46,1.B.14"
MGYG000290011_4|CGC2,"GH2,GH20,null,1.B.14,null,1.B.14"
MGYG000290011_5|CGC1,"2.A.2,null,GH3,2.A.1,null,null,GH31,GH130,GH26,GH5_4"
MGYG000290011_5|CGC2,"1.B.14,GH5_7"
MGYG000290011_7|CGC1,"GH13_16,GH89,2.A.1,2.A.1"
MGYG000290011_8|CGC1,"1.B.14,null,null,3.A.1,null,GH97"
MGYG000290011_11|CGC1,"9.B.146,null,null,GT28"
MGYG000290011_12|CGC1,"GH2,null,null,1.B.14"
MGYG000290011_13|CGC1,"4.C.1,null,null,GH28,CE12|CE8,GH105,PL1_2,1.B.14"
MGYG000290011_13|CGC2,"GH9|CE4,null,GH18,null,2.A.115"
MGYG000290011_15|CGC1,"9.B.20,CYTH,2.A.4,1.A.23,null,CBM67|GH78"
MGYG000290011_15|CGC2,"2.A.5,null,CE1"
MGYG000290011_16|CGC1,"GH27,null,2.A.21"
MGYG000290011_17|CGC1,"2.A.47,GH2"
MGYG000290011_19|CGC1,"3.D.1,null,GH97,GH13,GH13,null,GH13_36,null,8.A.46,1.B.14,2.A.2"
MGYG000290011_20|CGC1,"GT51,3.A.7"
MGYG000290011_21|CGC1,"GT0,null,9.B.18"
MGYG000290011_23|CGC1,"2.A.13,null,GH171,null,null,2.A.88"
MGYG000290011_23|CGC2,"2.A.1,GH31"
MGYG000290011_27|CGC1,"GT2,2.A.114"
MGYG000290011_28|CGC1,"1.B.42,GT2,null,GT83,null,3.A.6"
MGYG000290011_52|CGC1,"2.A.49,null,GT2,null,3.A.1"
MGYG000290017_1|CGC1,"9.A.8,null,Sigma70_r2|Sigma70_r4_2,CE1"
MGYG000290017_1|CGC2,"GH43_4|CBM13,GH30_5|CBM62|CBM62,3.A.3"
MGYG000290017_3|CGC1,"9.B.149,null,CE12|CBM13|CBM35|CE12"
MGYG000290017_6|CGC1,"3.A.1,3.A.1,null,CBM35|CBM35|PL11_1"
MGYG000290017_8|CGC1,"GH94,null,2.A.58,3.D.1"
MGYG000290017_9|CGC1,"2.A.86,GH13_39,GT35"
MGYG000290017_10|CGC1,"1.A.8,Trans_reg_C,3.A.1,GH43_10|CBM22|CE1,9.B.160"
MGYG000290017_11|CGC1,"3.A.3,GH5_4|CBM80|GH5_8"
MGYG000290017_12|CGC1,"9.B.146,2.A.103,GT28"
MGYG000290017_14|CGC1,"3.A.1,HATPase_c,Trans_reg_C,9.B.102,null,GT2,null,GT4,GT4,GT4,null,null,3.A.1,3.A.1"
MGYG000290017_15|CGC1,"GH105,3.A.1,3.A.1,3.A.1"
MGYG000290017_21|CGC1,"9.B.160,CBM79|CBM79|GH5_4,HTH_AraC,HTH_AraC|HTH_AraC,GH10|CBM22|GH43_16|CBM6"
MGYG000290017_23|CGC1,"PL1|PL9_1|CBM77,null,9.B.100"
MGYG000290017_24|CGC1,"GH5_4,HTH_AraC|HTH_AraC,9.B.34"
MGYG000290017_26|CGC1,"2.A.45,null,null,CE8|PL1|CBM13"
MGYG000290017_27|CGC1,"3.A.7,1.A.33,null,3.A.1,null,3.B.1,3.B.1,null,3.B.1,PL1_2|CBM6"
MGYG000290017_32|CGC1,"3.A.1,PL11"
MGYG000290017_41|CGC1,"4.C.1,PL1|CBM13|CBM13"
MGYG000290017_45|CGC1,"GH26,GH95,2.A.6,2.A.6,3.A.2,3.A.2"
MGYG000290017_52|CGC1,"3.A.9,null,null,CBM35|GH26|CBM80"
MGYG000290017_53|CGC1,"GH43_4|CBM13|CBM13,3.A.1,dCache_1|GGDEF,3.A.1"
MGYG000290017_61|CGC1,"GT4,null,GT4,null,null,3.A.2,null,null,3.A.2,3.A.2"
MGYG000290017_65|CGC1,"GT2,GH13_14,null,1.A.33,null,HTH_DeoR,3.D.1"
MGYG000290017_68|CGC1,"CE17,null,3.A.1"
MGYG000290017_74|CGC1,"3.A.16,GH9,CBM35|GH26"
MGYG000290017_93|CGC1,"2.A.1,PL11|CBM13"
MGYG000290017_94|CGC1,"3.A.1,null,null,GH3"
MGYG000290017_95|CGC1,"8.A.5,CE3|CBM35|GH26"
MGYG000290017_103|CGC1,"CE12|CBM13|CBM35|CE12,null,null,3.A.1"
MGYG000290017_104|CGC1,"3.A.1,null,GH5_1,GH5_1"
MGYG000290018_15|CGC1,"2.A.115,null,null,GT2"
MGYG000290018_16|CGC1,"GT28,2.A.103,9.B.146"
MGYG000290018_17|CGC1,"3.D.1,Fer4,GntR,GH36,GT2,null,3.A.1,null,2.A.103,3.A.1"
MGYG000290018_18|CGC1,"2.A.1,null,GH3"
MGYG000290018_21|CGC1,"2.A.66,null,GT113,GT4,GT2,null,Fer4,CE4"
MGYG000290018_27|CGC1,"3.A.1,null,GT51"
MGYG000290018_51|CGC1,"2.A.38,2.A.38,null,GT0,9.B.146"
MGYG000290018_71|CGC1,"3.A.1,3.A.1,GH2"
MGYG000290018_84|CGC1,"GH32,null,3.A.1,3.A.1"
MGYG000290019_28|CGC1,"GH67,null,null,9.B.102"
MGYG000290019_41|CGC1,"GH36,9.B.28,3.A.1"
MGYG000290019_102|CGC1,"GT51,2.A.22"
MGYG000290020_1|CGC1,"2.A.40,Pribosyltran,2.A.2,GH36,9.B.120"
MGYG000290020_1|CGC2,"GH2,3.A.1,3.A.1,3.A.1"
MGYG000290020_3|CGC1,"CE1,Nitroreductase,8.A.5"
MGYG000290020_3|CGC2,"2.A.107,GT5,null,null,CBM48|GH13_9"
MGYG000290020_5|CGC1,"3.A.1,3.A.1,3.A.1,3.A.1,null,GT4"
MGYG000290020_6|CGC1,"9.B.18,null,null,GT4"
MGYG000290020_6|CGC2,"9.B.18,GT111,null,3.A.1"
MGYG000290020_10|CGC1,"GH1,4.A.1,null,GH36,GH43_27"
MGYG000290020_17|CGC1,"4.A.1,GH1"
MGYG000290020_19|CGC1,"3.D.1,Fer4|Fer4,GH51"
MGYG000290020_20|CGC1,"9.A.40,null,null,GH13,GH13_36,3.A.1,3.A.1,SBP_bac_1,3.A.1"
MGYG000290020_23|CGC1,"9.B.18,null,null,9.B.18,GT0"
MGYG000290020_33|CGC1,"4.A.2,null,HTH_AraC,GH2"
MGYG000290020_44|CGC1,"9.B.146,2.A.103,GT28"
MGYG000290020_50|CGC1,"GH43_17,PfkB,null,2.A.66,GH3"
MGYG000290020_51|CGC1,"3.A.1,null,null,GH51,null,null,GH29"
MGYG000290020_52|CGC1,"3.A.1,3.A.1,3.A.1,3.A.1,3.A.1,HTH_AraC,GH43_1"
MGYG000290020_69|CGC1,"3.A.1,null,3.A.1,GH127"
MGYG000290021_1|CGC1,"2.A.115,null,null,GH2,GH13_4"
MGYG000290021_5|CGC1,"3.A.9,null,null,GH13_42"
MGYG000290021_7|CGC1,"GH3,null,null,2.A.98"
MGYG000290021_8|CGC1,"4.D.2,GT4,null,SpoVT_AbrB,9.B.156,9.B.156,9.A.11"
MGYG000290021_9|CGC1,"GH13_20,null,null,1.A.16"
MGYG000290021_10|CGC1,"CBM48|GH13_9,null,null,GT5,null,HTH_5,3.A.3"
MGYG000290021_15|CGC1,"9.B.34,HTH_3,null,1.A.22,null,3.A.12,null,null,9.A.40,GH13,null,3.A.3"
MGYG000290021_16|CGC1,"3.A.1,null,GH13_36,3.A.1,3.A.1"
MGYG000290021_20|CGC1,"GH36,2.A.2,null,3.A.1,null,2.A.107"
MGYG000290021_23|CGC1,"8.A.59,null,null,GT2|GT2"
MGYG000290021_32|CGC1,"9.B.146,2.A.103,GT28"
MGYG000290021_33|CGC1,"GH3,null,null,2.A.118,3.A.1"
MGYG000290021_35|CGC1,"9.A.11,1.E.18,null,null,CBM74,null,null,2.A.36"
MGYG000290021_52|CGC1,"2.A.4,GH53,null,GT51"
MGYG000290021_53|CGC1,"8.A.5,GT2"
MGYG000290024_3|CGC1,"3.A.1,3.A.1,MarR,CE4,null,null,3.A.11,3.A.11"
MGYG000290024_5|CGC1,"2.A.115,null,null,2.A.103,null,null,GH31,null,null,1.A.14"
MGYG000290024_7|CGC1,"GT2,2.A.115"
MGYG000290024_7|CGC2,"GT2,GT2,null,3.A.1"
MGYG000290025_10|CGC1,"GH13_39,3.A.16"
MGYG000290025_12|CGC1,"3.A.1,null,null,3.A.1,null,GH105,GH28,null,null,2.A.2"
MGYG000290025_25|CGC1,"8.A.59,Reg_prop|Y_Y_Y|HisKA|HATPase_c|Response_reg,8.A.59,Fer4|FeS|MCPsignal,GH13_11"
MGYG000290025_33|CGC1,"GT2|GT4,GT111|GT8,3.A.1,3.A.1"
MGYG000290025_58|CGC1,"4.C.1,null,HhH-GPD,GT35,LacI,GH77,8.A.8"
MGYG000290025_72|CGC1,"8.A.59,null,2.A.40,null,GH2,null,8.A.59,3.A.1,3.A.1"
MGYG000290025_85|CGC1,"GT2,4.D.1"
MGYG000290025_99|CGC1,"2.A.5,9.B.143,GGDEF,8.A.59,null,9.B.34,HMA,3.A.3,HTH_5,Fe_dep_repress,GT2,GT2|GT2"
MGYG000290025_100|CGC1,"3.A.12,GT5,null,9.A.40"
MGYG000290025_103|CGC1,"3.A.1,CBM4|GH9,null,3.A.7"
MGYG000290025_115|CGC1,"GH77,1.A.1"
MGYG000290025_147|CGC1,"GT2,null,8.A.59"
MGYG000290025_156|CGC1,"GH13_18,9.B.28"
MGYG000290026_10|CGC1,"GT51,9.B.146,2.A.103"
MGYG000290026_12|CGC1,"GH24,null,null,3.A.1"
MGYG000290027_20|CGC1,"GT0,null,null,3.D.10"
MGYG000290027_32|CGC1,"2.A.66,GH92"
MGYG000290027_55|CGC1,"GH171,null,null,3.A.1"
MGYG000290027_84|CGC1,"GH51,null,null,3.A.1,3.A.1,3.A.1"
MGYG000290027_124|CGC1,"GH43_34,8.A.5"
MGYG000290027_137|CGC1,"GH5_37,null,3.A.1,3.A.1"
MGYG000290027_176|CGC1,"GH109,null,null,3.A.1,3.A.1"
MGYG000290027_200|CGC1,"3.A.1,null,null,2.A.66,null,null,GH29"
MGYG000290027_201|CGC1,"2.A.45,null,null,CBM9"
MGYG000290027_214|CGC1,"GH140,null,9.A.8,null,null,2.A.66,null,GH109,null,9.A.28"
MGYG000290027_229|CGC1,"3.A.9,null,GH106"
MGYG000290027_239|CGC1,"2.A.79,null,GH29"
MGYG000290027_256|CGC1,"9.A.23,null,Pribosyltran,GH2"
MGYG000290027_300|CGC1,"GH141,9.B.115,GH3"
MGYG000290027_325|CGC1,"3.D.1,GT26"
MGYG000290028_4|CGC1,"1.B.33,null,CE11"
MGYG000290028_5|CGC1,"GT5,null,Peptidase_M23,9.B.174"
MGYG000290028_6|CGC1,"3.A.6,null,9.B.150,null,null,2.A.21,Response_reg,8.A.59,null,9.B.146,null,GT4,null,null,1.A.33"
MGYG000290028_17|CGC1,"3.A.1,GT19"
MGYG000290028_26|CGC1,"GT111,2.A.66"
MGYG000290028_26|CGC2,"8.A.59,GH57"
MGYG000290028_32|CGC1,"GT2,null,GT2,null,GT2,null,4.D.1"
MGYG000290028_42|CGC1,"9.B.34,9.B.34,8.A.7,PTS-HPr,4.A.6,null,GH57,4.A.6,4.A.6"
MGYG000290028_47|CGC1,"GT2,null,null,2.A.28"
MGYG000290028_48|CGC1,"CBM48|GH13_9,9.B.1"
MGYG000290028_51|CGC1,"2.A.37,GT51,null,1.E.40"
MGYG000290028_56|CGC1,"3.A.15,null,3.A.15,null,null,GT2"
MGYG000290028_77|CGC1,"GH26,null,0045030,3.D.1"
MGYG000290030_1|CGC1,"2.A.2,GH31"
MGYG000290030_1|CGC2,"GT0,null,GT2,9.B.18"
MGYG000290030_1|CGC3,"2.A.66,9.B.67,GT4,null,9.B.18,null,8.A.3"
MGYG000290030_1|CGC4,"2.A.87,null,3.A.1,3.A.1,3.A.1,null,null,1.A.23,GH53|CBM61"
MGYG000290030_4|CGC1,"GH2,2.A.2"
MGYG000290030_4|CGC2,"GH3,null,3.D.6,3.D.6,3.D.6,3.D.6,3.D.6,null,null,9.B.14"
MGYG000290030_7|CGC1,"GH2,2.A.1"
MGYG000290030_8|CGC1,"GH5_37,3.A.1,3.A.1,null,LacI,GH94,3.A.1,null,null,GH5_2,null,3.A.1,3.A.1,3.A.1"
MGYG000290030_9|CGC1,"1.E.12,null,null,GT51"
MGYG000290030_11|CGC1,"3.A.7,3.A.11,null,GT39"
MGYG000290030_13|CGC1,"3.A.1,null,null,3.A.1,null,3.A.1,null,null,GT35,3.A.1,3.A.1"
MGYG000290030_20|CGC1,"CBM67|GH78,2.A.2,GH3"
MGYG000290030_22|CGC1,"2.A.86,GH13_39"
MGYG000290031_1|CGC1,"GH128,null,3.A.3"
MGYG000290031_1|CGC2,"2.A.66,null,GT4,null,GT4"
MGYG000290031_1|CGC3,"9.B.27,null,CE4"
MGYG000290031_3|CGC1,"GT51,9.B.186"
MGYG000290031_5|CGC1,"GH115,GH31,null,GH95,GH43_35,null,9.B.144,2.A.1"
MGYG000290031_6|CGC1,"GT2,8.A.3,null,1.B.18"
MGYG000290031_11|CGC1,"3.D.1,null,GT9"
MGYG000290031_11|CGC2,"GH35,null,null,1.A.11"
MGYG000290031_12|CGC1,"2.A.64,null,GT51"
MGYG000290031_12|CGC2,"1.B.9,null,null,GH25"
MGYG000290031_13|CGC1,"3.A.1,Peripla_BP_2,null,GT2"
MGYG000290031_14|CGC1,"GH43_19|GH43_24,GH43_17,null,GH9,null,1.C.105,null,TrkA_C|TrkA_C,2.A.38"
MGYG000290031_14|CGC2,"CE12|CE12,null,null,3.A.1"
MGYG000290031_15|CGC1,"2.A.23,ATPase_2,null,GH5_4,GH29,4.C.1,null,GH53,null,null,2.A.66"
MGYG000290031_17|CGC1,"GH146,GH51,Response_reg,GH128,2.A.66"
MGYG000290031_18|CGC1,"GH43_1,GH10,2.A.2,null,GH67"
MGYG000290031_20|CGC1,"3.A.1,null,GH105,null,9.B.168,2.A.9"
MGYG000290031_22|CGC1,"GH30_8,null,9.B.198"
MGYG000290031_23|CGC1,"2.A.6,2.A.6,null,null,GH43_5,null,GH5_4|CBM72,GH3,2.A.5"
MGYG000290031_23|CGC2,"2.A.6,2.A.6,2.A.6,CE1,null,GH43_29|CBM6|GH43_29|CBM6,GH97,GH98"
MGYG000290031_31|CGC1,"GT2,2.A.1"
MGYG000290031_35|CGC1,"2.A.25,GH16_3"
MGYG000290031_36|CGC1,"GH3,null,9.A.25,null,9.A.25,null,3.A.11"
MGYG000290031_37|CGC1,"1.B.14,CE8,HD,GH23,null,null,8.A.3"
MGYG000290031_38|CGC1,"GH43_10,2.A.1"
MGYG000290031_39|CGC1,"8.A.46,1.B.14,LacI,null,2.A.2,GH77,GH97,GH3"
MGYG000290031_40|CGC1,"9.B.146,null,2.A.103,GT28"
MGYG000290031_41|CGC1,"CE12,GH106,3.D.1,3.D.9"
MGYG000290031_43|CGC1,"3.A.1,null,null,GH43_4"
MGYG000290031_50|CGC1,"GT35,3.A.2,3.A.2,null,3.A.2,3.A.2,null,null,3.A.2,3.A.2"
MGYG000290031_53|CGC1,"GT2,3.A.1"
MGYG000290031_54|CGC1,"1.B.14,GT26,null,null,GT4,null,GT4"
MGYG000290031_55|CGC1,"2.A.66,CheZ,null,GH89"
MGYG000290031_57|CGC1,"9.B.196,HD,null,GH2,null,GH2,GH43_29|CBM6,2.A.1,null,4.A.5"
MGYG000290031_61|CGC1,"2.A.1,GH35,GH2"
MGYG000290031_61|CGC2,"GH2,9.A.8,GH30_5"
MGYG000290031_67|CGC1,"GH73,1.B.14,3.A.1,CBM13"
MGYG000290031_72|CGC1,"1.B.14,null,null,CBM50,null,2.A.17,2.A.35,null,null,2.A.76"
MGYG000290031_73|CGC1,"PL11_1,Fer4|Fer4,1.B.44"
MGYG000290031_88|CGC1,"GT2,GT2,null,2.A.115,3.D.6,3.D.6,3.D.6,3.D.6,3.D.6,3.D.6"
MGYG000290031_89|CGC1,"1.B.14,null,GH43_5"
MGYG000290031_102|CGC1,"4.C.1,GH2,GH2"
MGYG000290031_106|CGC1,"GH97,null,2.A.109"
MGYG000290031_118|CGC1,"3.A.7,null,GH109"
MGYG000290031_123|CGC1,"3.A.1,null,null,GT2"
MGYG000290031_126|CGC1,"CE12,null,2.A.6"
MGYG000290031_138|CGC1,"GH2,null,4.A.2"
MGYG000290033_1|CGC1,"3.A.1,3.A.1,3.A.1,3.A.1,LytTR,4.C.1,null,null,GT0"
MGYG000290033_1|CGC2,"2.A.115,GH3,null,GH30_4"
MGYG000290033_1|CGC3,"3.A.1,GH13_31"
MGYG000290033_1|CGC4,"GH20,null,null,9.B.144"
MGYG000290033_1|CGC5,"3.A.1,null,GH38,9.B.157,null,3.A.1,3.A.1,GH109"
MGYG000290033_2|CGC1,"GH29,0043758,null,1.A.33"
MGYG000290033_2|CGC2,"9.A.8,HMA,null,3.A.16,null,null,GH28,3.A.5"
MGYG000290033_4|CGC1,"GH3,2.A.5"
MGYG000290033_6|CGC1,"GH33,null,2.A.66"
MGYG000290033_7|CGC1,"GH106,null,3.A.1,3.A.1,3.A.1"
MGYG000290033_9|CGC1,"GT28,2.A.103,9.B.146"
MGYG000290033_10|CGC1,"2.A.21,9.B.145,GH2"
MGYG000290033_12|CGC1,"GH51,null,null,2.A.2"
MGYG000290033_15|CGC1,"2.A.2,GH38"
MGYG000290033_17|CGC1,"2.A.1,null,GH2,null,3.A.1"
MGYG000290033_20|CGC1,"GH3,3.A.1"
