CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
CGC2	TC	scaffold_12	jgi_TrireRUTC30_1_82413	480765	481851	+	3.D.1.8.1
CGC2	null	scaffold_12	jgi_TrireRUTC30_1_25418	482926	484320	+	null
CGC2	null	scaffold_12	jgi_TrireRUTC30_1_9577	484670	485220	-	null
CGC2	CAZyme	scaffold_12	jgi_TrireRUTC30_1_9578	487708	490132	+	GH55
CGC2	TF	scaffold_12	jgi_TrireRUTC30_1_9579	492555	495294	-	TEA
CGC1	TF	scaffold_13	jgi_TrireRUTC30_1_25481	117667	120664	+	ZZ
CGC1	TC	scaffold_13	jgi_TrireRUTC30_1_82998	121116	121928	-	2.A.89.1.2
CGC1	STP	scaffold_13	jgi_TrireRUTC30_1_82700	122815	123501	-	Ada_Zn_binding+HTH_18
CGC1	null	scaffold_13	jgi_TrireRUTC30_1_48753	125590	126762	-	null
CGC1	null	scaffold_13	jgi_TrireRUTC30_1_131229	128458	129367	-	null
CGC1	CAZyme	scaffold_13	jgi_TrireRUTC30_1_9725	129935	131383	+	GT50
CGC1	TC	scaffold_14	jgi_TrireRUTC30_1_36747	87809	88815	+	8.A.21.2.3
CGC1	TC	scaffold_14	jgi_TrireRUTC30_1_131475	89436	90028	+	3.A.25.1.1
CGC1	null	scaffold_14	jgi_TrireRUTC30_1_83824	91512	92171	-	null
CGC1	STP	scaffold_14	jgi_TrireRUTC30_1_25600	93136	94614	+	Pribosyltran
CGC1	null	scaffold_14	jgi_TrireRUTC30_1_83678	96037	97231	+	null
CGC1	CAZyme	scaffold_14	jgi_TrireRUTC30_1_83535	98495	100962	+	GH15
CGC1	null	scaffold_14	jgi_TrireRUTC30_1_137950	101732	102716	-	null
CGC1	TC	scaffold_14	jgi_TrireRUTC30_1_25602	103445	104761	+	1.I.1.1.2
CGC1	null	scaffold_14	jgi_TrireRUTC30_1_83867	105589	106734	+	null
CGC1	TF	scaffold_14	jgi_TrireRUTC30_1_55798	107391	108092	-	zf-MYND
CGC1	CAZyme	scaffold_14	jgi_TrireRUTC30_1_36756	109566	111229	-	AA12
CGC1	CAZyme	scaffold_14	jgi_TrireRUTC30_1_83445	111971	113745	-	GH47
CGC1	null	scaffold_14	jgi_TrireRUTC30_1_36758	114526	120181	-	null
CGC1	TC	scaffold_14	jgi_TrireRUTC30_1_101024	122759	126180	+	9.B.106.3.1
CGC1	null	scaffold_14	jgi_TrireRUTC30_1_141990	127571	129128	+	null
CGC1	TC	scaffold_14	jgi_TrireRUTC30_1_141991	129682	131091	-	3.A.20.1.5
CGC1	null	scaffold_14	jgi_TrireRUTC30_1_83821	132778	134000	+	null
CGC1	null	scaffold_14	jgi_TrireRUTC30_1_9966	136242	137548	-	null
CGC1	TF	scaffold_14	jgi_TrireRUTC30_1_83454	140133	141178	-	bZIP_1
CGC1	STP	scaffold_19	jgi_TrireRUTC30_1_86627	437301	438504	+	PALP
CGC1	CAZyme	scaffold_19	jgi_TrireRUTC30_1_86704	438644	441316	-	GH3
CGC1	null	scaffold_19	jgi_TrireRUTC30_1_11074	442060	442677	-	null
CGC1	TC	scaffold_19	jgi_TrireRUTC30_1_102451	443996	445194	-	9.A.60.1.1
CGC1	null	scaffold_19	jgi_TrireRUTC30_1_37792	445440	446158	-	null
CGC1	CAZyme	scaffold_19	jgi_TrireRUTC30_1_86743	448463	449221	+	PL7_4
CGC1	CAZyme	scaffold_19	jgi_TrireRUTC30_1_57859	452119	452992	+	GH75
CGC1	null	scaffold_19	jgi_TrireRUTC30_1_86256	454299	454541	-	null
CGC1	null	scaffold_19	jgi_TrireRUTC30_1_132673	455949	457262	-	null
CGC1	TF	scaffold_19	jgi_TrireRUTC30_1_37796	458630	460189	+	none
CGC1	TC	scaffold_2	jgi_TrireRUTC30_1_32521	130723	131438	+	3.D.1.6.2
CGC1	null	scaffold_2	jgi_TrireRUTC30_1_71925	131886	133059	-	null
CGC1	null	scaffold_2	jgi_TrireRUTC30_1_135752	134899	136863	+	null
CGC1	STP	scaffold_2	jgi_TrireRUTC30_1_140060	137980	140116	+	Pyr_redox_2
CGC1	null	scaffold_2	jgi_TrireRUTC30_1_5514	140554	141974	-	null
CGC1	TC	scaffold_2	jgi_TrireRUTC30_1_140061	142670	143931	+	9.A.63.1.1
CGC1	null	scaffold_2	jgi_TrireRUTC30_1_95167	144253	145386	-	null
CGC1	null	scaffold_2	jgi_TrireRUTC30_1_95170	146315	147235	+	null
CGC1	STP	scaffold_2	jgi_TrireRUTC30_1_140064	149021	154162	+	NIR_SIR_ferr+NIR_SIR+NIR_SIR_ferr
CGC1	CAZyme	scaffold_2	jgi_TrireRUTC30_1_71660	154900	157939	-	GT2|GT2
CGC1	null	scaffold_2	jgi_TrireRUTC30_1_49982	158111	158668	-	null
CGC1	null	scaffold_2	jgi_TrireRUTC30_1_5520	161100	162066	+	null
CGC1	TC	scaffold_2	jgi_TrireRUTC30_1_23588	162626	163771	+	3.A.2.1.3
CGC1	null	scaffold_2	jgi_TrireRUTC30_1_135758	164567	168212	-	null
CGC1	null	scaffold_2	jgi_TrireRUTC30_1_95183	170088	171581	+	null
CGC1	TF	scaffold_2	jgi_TrireRUTC30_1_95185	172203	174789	+	PHD
CGC2	STP	scaffold_2	jgi_TrireRUTC30_1_71448	406006	407327	-	Pkinase
CGC2	null	scaffold_2	jgi_TrireRUTC30_1_70754	410319	411799	-	null
CGC2	null	scaffold_2	jgi_TrireRUTC30_1_70507	413069	413677	-	null
CGC2	CAZyme	scaffold_2	jgi_TrireRUTC30_1_23616	415655	417264	+	GH10
CGC2	TF	scaffold_2	jgi_TrireRUTC30_1_70536	417397	419237	-	Zn_clus
CGC2	TC	scaffold_2	jgi_TrireRUTC30_1_70337	419878	421401	-	2.A.3.4.2
CGC1	TC	scaffold_22	jgi_TrireRUTC30_1_88178	398826	400016	-	3.D.1.6.2
CGC1	CAZyme	scaffold_22	jgi_TrireRUTC30_1_133200	401030	402541	+	GH43_34|CBM66
CGC1	null	scaffold_22	jgi_TrireRUTC30_1_88064	403550	404040	+	null
CGC1	TF	scaffold_22	jgi_TrireRUTC30_1_87882	404267	406731	-	Zn_clus
CGC1	null	scaffold_22	jgi_TrireRUTC30_1_87829	407679	409697	-	null
CGC1	null	scaffold_22	jgi_TrireRUTC30_1_138752	410681	412552	-	null
CGC1	CAZyme	scaffold_22	jgi_TrireRUTC30_1_103113	412919	414554	-	GH76
CGC1	null	scaffold_22	jgi_TrireRUTC30_1_87896	415628	417191	-	null
CGC1	STP	scaffold_22	jgi_TrireRUTC30_1_38277	418587	422168	-	Pkinase
CGC1	null	scaffold_22	jgi_TrireRUTC30_1_88022	425998	427191	-	null
CGC1	CAZyme	scaffold_22	jgi_TrireRUTC30_1_11580	428208	429647	-	GH30_5
CGC1	CAZyme	scaffold_24	jgi_TrireRUTC30_1_38418	3261	4012	-	GH11
CGC1	null	scaffold_24	jgi_TrireRUTC30_1_88912	6589	7590	+	null
CGC1	CAZyme	scaffold_24	jgi_TrireRUTC30_1_133383	9243	10623	+	GH28
CGC1	null	scaffold_24	jgi_TrireRUTC30_1_88814	13409	14094	+	null
CGC1	TC	scaffold_24	jgi_TrireRUTC30_1_11734	15749	17842	-	2.A.1.1.7
CGC1	null	scaffold_24	jgi_TrireRUTC30_1_88777	18804	19975	-	null
CGC1	TF	scaffold_24	jgi_TrireRUTC30_1_133387	20388	22348	-	Zn_clus
CGC1	STP	scaffold_24	jgi_TrireRUTC30_1_124787	23292	24680	+	HD
CGC1	null	scaffold_24	jgi_TrireRUTC30_1_133389	24706	25855	-	null
CGC1	TC	scaffold_24	jgi_TrireRUTC30_1_88800	27495	28352	+	9.A.26.1.4
CGC1	CAZyme	scaffold_25	jgi_TrireRUTC30_1_89263	175284	176540	+	GT1
CGC1	TC	scaffold_25	jgi_TrireRUTC30_1_138886	177492	180001	-	3.A.1.210.1
CGC1	null	scaffold_25	jgi_TrireRUTC30_1_89229	180457	182272	-	null
CGC1	STP	scaffold_25	jgi_TrireRUTC30_1_89027	183307	185455	-	Pyr_redox_2
CGC1	TF	scaffold_25	jgi_TrireRUTC30_1_138889	186338	196035	-	Myb_DNA-binding+Myb_DNA-binding
CGC1	TF	scaffold_3	jgi_TrireRUTC30_1_57466	1702530	1704925	+	none
CGC1	null	scaffold_3	jgi_TrireRUTC30_1_136321	1705404	1708150	-	null
CGC1	null	scaffold_3	jgi_TrireRUTC30_1_108286	1709033	1712112	-	null
CGC1	TF	scaffold_3	jgi_TrireRUTC30_1_58034	1714533	1716687	-	Zn_clus
CGC1	null	scaffold_3	jgi_TrireRUTC30_1_73634	1719153	1720042	-	null
CGC1	null	scaffold_3	jgi_TrireRUTC30_1_33592	1720734	1721564	-	null
CGC1	TF	scaffold_3	jgi_TrireRUTC30_1_72467	1722145	1722964	+	Acetyltransf_1
CGC1	TF	scaffold_3	jgi_TrireRUTC30_1_52813	1723385	1725580	+	Zn_clus
CGC1	STP	scaffold_3	jgi_TrireRUTC30_1_73691	1726310	1727572	+	Pyr_redox
CGC1	TC	scaffold_3	jgi_TrireRUTC30_1_73138	1727783	1728721	-	2.A.29.1.7
CGC1	null	scaffold_3	jgi_TrireRUTC30_1_96676	1728851	1730072	-	null
CGC1	TF	scaffold_3	jgi_TrireRUTC30_1_33597	1730405	1732815	+	Zn_clus
CGC1	null	scaffold_3	jgi_TrireRUTC30_1_73125	1733020	1733781	-	null
CGC1	null	scaffold_3	jgi_TrireRUTC30_1_72464	1734413	1735376	+	null
CGC1	CAZyme	scaffold_3	jgi_TrireRUTC30_1_73541	1735649	1738190	-	GH55
CGC2	STP	scaffold_3	jgi_TrireRUTC30_1_6675	1782450	1786242	+	Pkinase
CGC2	TF	scaffold_3	jgi_TrireRUTC30_1_96712	1786893	1789839	-	none
CGC2	TF	scaffold_3	jgi_TrireRUTC30_1_127965	1790768	1791911	-	SWIB
CGC2	null	scaffold_3	jgi_TrireRUTC30_1_6678	1793594	1794982	-	null
CGC2	CAZyme	scaffold_3	jgi_TrireRUTC30_1_127967	1795809	1797329	-	GT31_e75
CGC2	null	scaffold_3	jgi_TrireRUTC30_1_72673	1798404	1801869	-	null
CGC2	null	scaffold_3	jgi_TrireRUTC30_1_73303	1802729	1804156	-	null
CGC2	TC	scaffold_3	jgi_TrireRUTC30_1_72297	1805063	1807424	+	2.A.21.6.1
CGC2	null	scaffold_3	jgi_TrireRUTC30_1_6682	1808078	1808654	-	null
CGC2	null	scaffold_3	jgi_TrireRUTC30_1_72340	1811971	1812895	+	null
CGC2	TC	scaffold_3	jgi_TrireRUTC30_1_6684	1813016	1815100	-	2.A.3.4.2
CGC2	null	scaffold_3	jgi_TrireRUTC30_1_127974	1816799	1818526	+	null
CGC2	TF	scaffold_3	jgi_TrireRUTC30_1_54101	1818646	1820188	-	Zn_clus
CGC2	null	scaffold_3	jgi_TrireRUTC30_1_73595	1823375	1824294	+	null
CGC2	null	scaffold_3	jgi_TrireRUTC30_1_127977	1825037	1825735	+	null
CGC2	TC	scaffold_3	jgi_TrireRUTC30_1_33630	1826017	1828000	-	2.A.1.1.39
CGC2	TF	scaffold_3	jgi_TrireRUTC30_1_73059	1829245	1831283	-	Zn_clus
CGC2	TC	scaffold_3	jgi_TrireRUTC30_1_127980	1831841	1833598	-	2.A.1.1.9
CGC2	null	scaffold_3	jgi_TrireRUTC30_1_127981	1834602	1835693	-	null
CGC2	STP	scaffold_3	jgi_TrireRUTC30_1_73291	1837273	1838220	+	PALP
CGC2	null	scaffold_3	jgi_TrireRUTC30_1_33634	1841363	1842530	+	null
CGC2	TC	scaffold_3	jgi_TrireRUTC30_1_73503	1844673	1846173	+	2.A.18.4.2
CGC2	TC	scaffold_3	jgi_TrireRUTC30_1_72410	1846382	1848249	-	2.A.3.4.3
CGC2	null	scaffold_3	jgi_TrireRUTC30_1_127987	1849732	1850568	-	null
CGC2	null	scaffold_3	jgi_TrireRUTC30_1_72359	1851463	1852455	+	null
CGC2	STP	scaffold_3	jgi_TrireRUTC30_1_72650	1853277	1854674	+	Pyr_redox_2
CGC2	TF	scaffold_3	jgi_TrireRUTC30_1_33640	1854824	1855951	-	none
CGC2	null	scaffold_3	jgi_TrireRUTC30_1_127991	1858177	1858990	+	null
CGC2	null	scaffold_3	jgi_TrireRUTC30_1_73443	1859387	1860588	-	null
CGC2	CAZyme	scaffold_3	jgi_TrireRUTC30_1_72489	1861289	1862724	-	GH5_5
CGC1	TF	scaffold_31	jgi_TrireRUTC30_1_134352	185788	187965	+	Zn_clus
CGC1	null	scaffold_31	jgi_TrireRUTC30_1_134353	188147	189875	-	null
CGC1	TC	scaffold_31	jgi_TrireRUTC30_1_91246	190520	192588	+	2.A.1.14.4
CGC1	null	scaffold_31	jgi_TrireRUTC30_1_134355	193147	193920	-	null
CGC1	CAZyme	scaffold_31	jgi_TrireRUTC30_1_39277	196696	198570	+	GH27
CGC1	TC	scaffold_31	jgi_TrireRUTC30_1_91130	198740	200583	-	2.A.1.14.11
CGC1	null	scaffold_31	jgi_TrireRUTC30_1_91282	202501	203672	+	null
CGC1	null	scaffold_31	jgi_TrireRUTC30_1_91143	203891	205747	-	null
CGC1	TF	scaffold_31	jgi_TrireRUTC30_1_91228	207713	209452	-	Zn_clus
CGC1	null	scaffold_31	jgi_TrireRUTC30_1_91057	209893	210876	+	null
CGC1	TC	scaffold_31	jgi_TrireRUTC30_1_104377	214022	216727	+	2.A.67.1.6
CGC1	null	scaffold_31	jgi_TrireRUTC30_1_134363	217391	219869	-	null
CGC1	CAZyme	scaffold_31	jgi_TrireRUTC30_1_91218	221037	223455	+	GH89
CGC1	null	scaffold_31	jgi_TrireRUTC30_1_134365	224295	226120	+	null
CGC1	TC	scaffold_31	jgi_TrireRUTC30_1_91122	226895	228417	+	2.A.1.13.19
CGC1	null	scaffold_31	jgi_TrireRUTC30_1_104381	228912	230442	-	null
CGC1	null	scaffold_31	jgi_TrireRUTC30_1_91123	232482	233438	+	null
CGC1	STP	scaffold_31	jgi_TrireRUTC30_1_104386	234579	236192	-	Pkinase
CGC1	TF	scaffold_33	jgi_TrireRUTC30_1_104493	140662	141604	+	none
CGC1	TF	scaffold_33	jgi_TrireRUTC30_1_104494	142322	145276	-	PHD
CGC1	null	scaffold_33	jgi_TrireRUTC30_1_26797	146840	147907	+	null
CGC1	TC	scaffold_33	jgi_TrireRUTC30_1_12733	148270	149421	-	9.B.105.3.2
CGC1	null	scaffold_33	jgi_TrireRUTC30_1_26798	149948	150944	-	null
CGC1	null	scaffold_33	jgi_TrireRUTC30_1_12735	151374	152642	+	null
CGC1	TF	scaffold_33	jgi_TrireRUTC30_1_91497	153169	154899	+	WW
CGC1	STP	scaffold_33	jgi_TrireRUTC30_1_91519	155025	156656	-	NUDIX
CGC1	TF	scaffold_33	jgi_TrireRUTC30_1_59591	158190	160106	-	Zn_clus
CGC1	STP	scaffold_33	jgi_TrireRUTC30_1_39390	163374	165126	-	Pyr_redox_2
CGC1	TC	scaffold_33	jgi_TrireRUTC30_1_91563	168070	182840	+	4.C.1.1.7
CGC1	CAZyme	scaffold_33	jgi_TrireRUTC30_1_104503	183125	184756	-	AA3
CGC1	TC	scaffold_45	jgi_TrireRUTC30_1_116761	19430	22438	-	1.A.33.1.3
CGC1	CAZyme	scaffold_45	jgi_TrireRUTC30_1_139518	23994	26339	-	GT2
CGC1	null	scaffold_45	jgi_TrireRUTC30_1_121336	26661	27263	+	null
CGC1	null	scaffold_45	jgi_TrireRUTC30_1_93022	28634	32628	-	null
CGC1	TC	scaffold_45	jgi_TrireRUTC30_1_134987	33703	35255	-	2.A.19.2.2
CGC1	STP	scaffold_45	jgi_TrireRUTC30_1_105152	37917	39466	-	Aminotran_1_2
CGC1	null	scaffold_45	jgi_TrireRUTC30_1_105155	40056	42245	-	null
CGC1	CAZyme	scaffold_45	jgi_TrireRUTC30_1_27020	42748	44656	+	GT62
CGC1	TC	scaffold_45	jgi_TrireRUTC30_1_105161	44784	46642	-	9.A.29.3.1
CGC1	TC	scaffold_45	jgi_TrireRUTC30_1_93049	47163	49076	-	2.A.1.75.3
CGC1	null	scaffold_45	jgi_TrireRUTC30_1_39848	50017	50490	+	null
CGC1	TC	scaffold_45	jgi_TrireRUTC30_1_105163	51345	53871	+	4.C.2.1.1
CGC1	null	scaffold_45	jgi_TrireRUTC30_1_116787	54695	56063	+	null
CGC1	null	scaffold_45	jgi_TrireRUTC30_1_39851	56288	59077	-	null
CGC1	CAZyme	scaffold_45	jgi_TrireRUTC30_1_105169	59848	61981	+	CBM50_e307
CGC1	null	scaffold_45	jgi_TrireRUTC30_1_139530	62756	63700	+	null
CGC1	TF	scaffold_45	jgi_TrireRUTC30_1_139531	64637	68257	+	Zn_clus
CGC1	TC	scaffold_45	jgi_TrireRUTC30_1_105179	68642	70072	-	3.A.25.1.1
CGC1	null	scaffold_45	jgi_TrireRUTC30_1_93001	70488	73651	-	null
CGC1	TC	scaffold_45	jgi_TrireRUTC30_1_13208	74924	75987	+	9.A.19.1.1
CGC1	TC	scaffold_45	jgi_TrireRUTC30_1_13209	76303	76662	-	3.A.2.2.3
CGC1	TC	scaffold_45	jgi_TrireRUTC30_1_139533	77280	78149	+	3.D.1.6.2
CGC1	STP	scaffold_45	jgi_TrireRUTC30_1_93056	78642	81702	+	HATPase_c
CGC1	STP	scaffold_5	jgi_TrireRUTC30_1_34063	2667	3369	+	Nitroreductase
CGC1	null	scaffold_5	jgi_TrireRUTC30_1_136540	4357	5700	-	null
CGC1	TF	scaffold_5	jgi_TrireRUTC30_1_97256	8700	10924	+	Zn_clus
CGC1	CAZyme	scaffold_5	jgi_TrireRUTC30_1_122639	11117	13451	-	GH3
CGC1	TC	scaffold_5	jgi_TrireRUTC30_1_97259	14665	16575	+	2.A.1.1.127
CGC1	TF	scaffold_5	jgi_TrireRUTC30_1_128469	18219	18821	-	Acetyltransf_1
CGC2	CAZyme	scaffold_5	jgi_TrireRUTC30_1_140746	98719	101150	+	GH3
CGC2	CAZyme	scaffold_5	jgi_TrireRUTC30_1_136547	102433	104802	+	GH3
CGC2	STP	scaffold_5	jgi_TrireRUTC30_1_75852	106019	106594	+	Rhodanese
CGC2	null	scaffold_5	jgi_TrireRUTC30_1_128495	106786	108288	-	null
CGC2	null	scaffold_5	jgi_TrireRUTC30_1_75681	111491	112429	-	null
CGC2	TF	scaffold_5	jgi_TrireRUTC30_1_136548	112838	114183	-	Zn_clus
CGC2	null	scaffold_5	jgi_TrireRUTC30_1_34094	114717	116181	-	null
CGC2	STP	scaffold_5	jgi_TrireRUTC30_1_128499	116775	120701	-	Pkinase
CGC2	STP	scaffold_5	jgi_TrireRUTC30_1_75462	121905	123598	+	Pkinase
CGC2	TC	scaffold_5	jgi_TrireRUTC30_1_128501	123988	125997	-	2.A.1.14.43
CGC2	CAZyme	scaffold_5	jgi_TrireRUTC30_1_128502	127739	129248	-	AA7
CGC2	TC	scaffold_5	jgi_TrireRUTC30_1_75778	130124	131807	-	2.A.1.3.65
CGC2	TF	scaffold_5	jgi_TrireRUTC30_1_75872	132231	134530	+	Zn_clus
CGC2	null	scaffold_5	jgi_TrireRUTC30_1_128505	135336	135521	-	null
CGC2	null	scaffold_5	jgi_TrireRUTC30_1_75405	135849	137325	+	null
CGC2	CAZyme	scaffold_5	jgi_TrireRUTC30_1_75420	137444	139482	-	GH27
CGC2	CAZyme	scaffold_5	jgi_TrireRUTC30_1_34103	141192	144096	+	GH2
CGC2	null	scaffold_5	jgi_TrireRUTC30_1_34104	147259	149161	+	null
CGC2	null	scaffold_5	jgi_TrireRUTC30_1_122647	150976	151619	+	null
CGC2	TF	scaffold_5	jgi_TrireRUTC30_1_75680	152466	154774	+	Zn_clus
CGC2	null	scaffold_5	jgi_TrireRUTC30_1_75783	154900	155929	-	null
CGC2	TC	scaffold_5	jgi_TrireRUTC30_1_75371	156605	158274	+	2.A.1.14.11
CGC2	STP	scaffold_5	jgi_TrireRUTC30_1_75700	158785	160335	-	Aminotran_1_2
CGC1	STP	scaffold_54	jgi_TrireRUTC30_1_13349	6471	9827	+	Pyr_redox_2+NIR_SIR_ferr+NIR_SIR
CGC1	TC	scaffold_54	jgi_TrireRUTC30_1_93519	11227	12771	+	2.A.1.8.13
CGC1	CAZyme	scaffold_54	jgi_TrireRUTC30_1_93487	14698	17784	+	GH2
CGC1	null	scaffold_54	jgi_TrireRUTC30_1_93518	18134	18984	-	null
CGC1	CAZyme	scaffold_54	jgi_TrireRUTC30_1_39997	20337	21113	-	PL20
CGC1	CAZyme	scaffold_54	jgi_TrireRUTC30_1_125575	22711	24150	-	CE15
CGC1	CAZyme	scaffold_54	jgi_TrireRUTC30_1_93498	26169	27626	+	GH30_7
CGC1	TF	scaffold_54	jgi_TrireRUTC30_1_93496	27912	29057	-	bZIP_1
CGC1	TC	scaffold_56	jgi_TrireRUTC30_1_27060	6408	8098	+	1.I.1.1.2
CGC1	null	scaffold_56	jgi_TrireRUTC30_1_105286	8608	9647	-	null
CGC1	STP	scaffold_56	jgi_TrireRUTC30_1_135190	14406	16254	+	Pkinase
CGC1	CAZyme	scaffold_56	jgi_TrireRUTC30_1_93548	17070	18017	+	GT8
CGC1	null	scaffold_56	jgi_TrireRUTC30_1_105289	18295	19722	-	null
CGC1	TF	scaffold_56	jgi_TrireRUTC30_1_93557	20826	21251	+	Acetyltransf_1
CGC1	TF	scaffold_6	jgi_TrireRUTC30_1_77124	114991	117241	-	Zn_clus
CGC1	CAZyme	scaffold_6	jgi_TrireRUTC30_1_24455	118616	121324	+	GH2
CGC1	TC	scaffold_6	jgi_TrireRUTC30_1_136711	121527	123279	-	2.A.1.14.8
CGC1	CAZyme	scaffold_6	jgi_TrireRUTC30_1_76309	125377	127917	-	GH31
CGC1	TC	scaffold_6	jgi_TrireRUTC30_1_76681	128600	130491	+	2.A.1.14.36
CGC1	TF	scaffold_6	jgi_TrireRUTC30_1_76540	131204	132865	-	Homeodomain+zf-C2H2
CGC1	STP	scaffold_6	jgi_TrireRUTC30_1_128913	134962	137273	+	PALP
CGC1	TC	scaffold_6	jgi_TrireRUTC30_1_136712	137460	139354	-	2.A.1.1.40
CGC1	STP	scaffold_8	jgi_TrireRUTC30_1_24912	745987	748078	+	Citrate_synt
CGC1	TC	scaffold_8	jgi_TrireRUTC30_1_98998	749860	751508	+	2.A.29.29.1
CGC1	TF	scaffold_8	jgi_TrireRUTC30_1_141321	753218	754687	+	WW
CGC1	null	scaffold_8	jgi_TrireRUTC30_1_35388	754889	758528	-	null
CGC1	STP	scaffold_8	jgi_TrireRUTC30_1_79168	759413	761333	-	Aminotran_1_2
CGC1	null	scaffold_8	jgi_TrireRUTC30_1_8520	762899	763468	-	null
CGC1	TC	scaffold_8	jgi_TrireRUTC30_1_141324	765726	768211	+	4.C.1.1.15
CGC1	null	scaffold_8	jgi_TrireRUTC30_1_35391	769824	773277	+	null
CGC1	null	scaffold_8	jgi_TrireRUTC30_1_24918	774438	776861	-	null
CGC1	TC	scaffold_8	jgi_TrireRUTC30_1_78721	778950	779726	+	9.A.63.1.1
CGC1	CAZyme	scaffold_8	jgi_TrireRUTC30_1_79287	780422	782916	-	GT39
CGC1	TF	scaffold_8	jgi_TrireRUTC30_1_99016	783877	786042	+	none
CGC1	TC	scaffold_9	jgi_TrireRUTC30_1_141480	883495	884747	+	1.A.8.9.7
CGC1	null	scaffold_9	jgi_TrireRUTC30_1_61763	886175	889106	-	null
CGC1	TF	scaffold_9	jgi_TrireRUTC30_1_43676	889470	889844	-	none
CGC1	null	scaffold_9	jgi_TrireRUTC30_1_79666	891467	893215	+	null
CGC1	null	scaffold_9	jgi_TrireRUTC30_1_130310	893558	896593	-	null
CGC1	CAZyme	scaffold_9	jgi_TrireRUTC30_1_79572	897323	898399	-	CE4
CGC1	null	scaffold_9	jgi_TrireRUTC30_1_79524	901679	903046	+	null
